rank,institution,year_founded,affiliation,delivery_method,enrollment,city,country,continent,link
76,"Vietnam National University, Ho Chi Minh City",1995,Public,In-Person,98648,Ho Chi Minh City,Vietnam,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
77,University of Belgrade,1808,Public,In-Person,97696,Belgrade,Serbia,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
78,University of Vienna,1365,Public,In-Person,91715,Vienna,Austria,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
79,Monterrey Institute of Technology and Higher Education,1943,Private,In-Person,91200,"Monterrey,  Nuevo LeÃ³n",Mexico,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
80,University of Toronto,1827,Public,In-Person,88766,Toronto,Canada,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
81,Aristotle University of Thessaloniki,1925,Public,In-Person,88283,Thessaloniki,Greece,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
82,Polytechnic University of the Philippines,1904,Public,Hybrid,83328,,Philippines,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
83,Complutense University of Madrid,1293,Public,In-Person,83000,Madrid,Spain,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
84,Farhangian University,2012,Public,In-Person,80000,,Iran,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
85,Aix-Marseille University,1409,Public,In-Person,80000,Marseille,France,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
86,University of Hagen,1974,Public,Distance,69982,Hagen,Germany,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
87,UniversitÃ© de MontrÃ©al,1878,Public,Hybrid,67109,,Canada,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
88,University of the Philippines,1908,Public,Hybrid,64144,,Philippines,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
89,"Academic Center for Education, Culture and Research",1980,Private,In-Person,60000,,Iran,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
